카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 셋업,1,"제너럴아이디어
WOMAN 리본 벨벳 저지 셋업 [BLACK] / WBD4L01536
29%
53,100
쿠폰
638
5 (4)",제너럴아이디어,"제너럴아이디어
WOMAN 리본 벨벳 저지 셋업 [BLACK] / WBD4L01536",https://product.29cm.co.kr/catalog/2968285?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/제너럴아이디어/제너럴아이디어WOMAN_리본_벨벳_저지_셋업_BLACK__WBD4L015362953100쿠.jpg,https://img.29cm.co.kr/next-product/2024/11/27/c71363c8a0ef42c6a1211cae920fc44e_20241127155829.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"하네
[옵션선택] 메리 코튼 셋업_Black
28%
44,100
쿠폰
348
0 (0)",하네,"하네
[옵션선택] 메리 코튼 셋업_Black",https://product.29cm.co.kr/catalog/3266734?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네옵션선택_메리_코튼_셋업_Black2844100쿠폰3480_0.jpg,https://img.29cm.co.kr/item/202505/11f02edb70b7bba88930d5a0ab1e8b35.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"제너럴아이디어
UNISEX 브루클린 미니 쭈리 하프 세트 [BLACK] / SBD2U51042SET
59%
35,100
쿠폰
28
4.5 (6)",제너럴아이디어,"제너럴아이디어
UNISEX 브루클린 미니 쭈리 하프 세트 [BLACK] / SBD2U51042SET",https://product.29cm.co.kr/catalog/2605410?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/제너럴아이디어/제너럴아이디어UNISEX_브루클린_미니_쭈리_하프_세트_BLACK__SBD2U51042SE.jpg,https://img.29cm.co.kr/next-product/2024/04/22/dd54ab25b1c24dc483b7daa36442a709_20240422182426.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"투머치택스
WOOD BEAD WAFFLE ZIP-UP HOODIE (IVORY)
140,000
50
0 (0)",투머치택스,"투머치택스
WOOD BEAD WAFFLE ZIP-UP HOODIE (IVORY)",https://product.29cm.co.kr/catalog/3298638?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/투머치택스/투머치택스WOOD_BEAD_WAFFLE_ZIP-UP_HOODIE_IVORY140000500.jpg,https://img.29cm.co.kr/item/202505/11f03ad87c1bd131bb0699b141a440ac.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"코드그라피
[SET] [긴바지 OR 반바지 선택] 24H 트랙 브이넥 셋업_다크네이비
44%
59,900
무료배송
1,730
5 (53)",코드그라피,"코드그라피
[SET] [긴바지 OR 반바지 선택] 24H 트랙 브이넥 셋업_다크네이비",https://product.29cm.co.kr/catalog/2761659?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/코드그라피/코드그라피SET_긴바지_OR_반바지_선택_24H_트랙_브이넥_셋업_다크네이비4459900무.jpg,https://img.29cm.co.kr/item/202411/11ef9fc5529eff99957fadb14b6bd3c9.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"시야쥬
SI 뉴 클래식 셋업_Black
24%
207,600
쿠폰
284
4.5 (3)",시야쥬,"시야쥬
SI 뉴 클래식 셋업_Black",https://product.29cm.co.kr/catalog/3082533?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/시야쥬/시야쥬SI_뉴_클래식_셋업_Black24207600쿠폰2844.5_3.jpg,https://img.29cm.co.kr/item/202502/11efed1526e78d488f0a0facaaef9a28.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"투머치택스
WOOD BEAD WAFFLE ZIP-UP HOODIE (BLUE)
140,000
30
0 (0)",투머치택스,"투머치택스
WOOD BEAD WAFFLE ZIP-UP HOODIE (BLUE)",https://product.29cm.co.kr/catalog/3298631?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/투머치택스/투머치택스WOOD_BEAD_WAFFLE_ZIP-UP_HOODIE_BLUE140000300_.jpg,https://img.29cm.co.kr/item/202505/11f03ad85b87f94797752f00bf45be83.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"프론투라인
[29CM 단독][이청아 착용] 반다 라이트 내츄럴 크롭탑+릴리엄 카르마 팬츠 SET
35%
66,500
쿠폰
69
5 (1)",프론투라인,"프론투라인
[29CM 단독][이청아 착용] 반다 라이트 내츄럴 크롭탑+릴리엄 카르마 팬츠 SET",https://product.29cm.co.kr/catalog/3139083?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/프론투라인/프론투라인29CM_단독이청아_착용_반다_라이트_내츄럴_크롭탑릴리엄_카르마_팬츠_SET356.jpg,https://img.29cm.co.kr/item/202503/11effefaacb8dca88b637b1e408956c1.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"오피쉬
데어 비즈 스웻 셋업, 블랙
38%
153,140
쿠폰
303
0 (0)",오피쉬,"오피쉬
데어 비즈 스웻 셋업, 블랙",https://product.29cm.co.kr/catalog/3151971?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/오피쉬/오피쉬데어_비즈_스웻_셋업_블랙38153140쿠폰3030_0.jpg,https://img.29cm.co.kr/next-product/2025/03/18/a40a7936b674486e8338d87d09a509cb_20250318031724.jpg?width=400&format=webp
여성 > 의류 > 셋업,1,"더로하
[KIDS]뚜왈 드 주이 원피스 & 스크런치 SET
70,000
184
5 (5)",더로하,"더로하
[KIDS]뚜왈 드 주이 원피스 & 스크런치 SET",https://product.29cm.co.kr/catalog/3200848?colors=&categoryLargeCode=268100100&categoryMediumCode=268117100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/더로하/더로하KIDS뚜왈_드_주이_원피스__스크런치_SET700001845_5.jpg,https://img.29cm.co.kr/item/202504/11f0139a9e11238eb1310d8a2dc9b7fb.jpg?width=400&format=webp
