카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 니트웨어,1,"포 유어 아이즈 온리
[15차] Moire Soft Cardigan (5 Colors)
5%
113,050
7,045
4.8 (617)",포,"포 유어 아이즈 온리
[15차] Moire Soft Cardigan (5 Colors)",https://product.29cm.co.kr/catalog/2523687?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/포/포_유어_아이즈_온리15차_Moire_Soft_Cardigan_5_Colors5113050.jpg,https://img.29cm.co.kr/item/202502/11eff412935effde8b63bd2da1be9b07.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"던스트
SUMMER LINEN V-NECK KNIT NATURAL CREAM_UDSW5B233CR
10%
89,100
1,690
5 (10)",던스트,"던스트
SUMMER LINEN V-NECK KNIT NATURAL CREAM_UDSW5B233CR",https://product.29cm.co.kr/catalog/2542778?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/던스트/던스트SUMMER_LINEN_V-NECK_KNIT_NATURAL_CREAM_UDSW5B23.jpg,https://img.29cm.co.kr/next-product/2025/04/10/c0683bda624b4f459e6c4fd7e19525b6_20250410165110.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"제너럴아이디어
WOMAN 버튼 레이어드 하프 풀오버 [BLACK] / WBE2L05553
40%
43,200
쿠폰
579
4.5 (4)",제너럴아이디어,"제너럴아이디어
WOMAN 버튼 레이어드 하프 풀오버 [BLACK] / WBE2L05553",https://product.29cm.co.kr/catalog/3279378?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/제너럴아이디어/제너럴아이디어WOMAN_버튼_레이어드_하프_풀오버_BLACK__WBE2L0555340432.jpg,https://img.29cm.co.kr/next-product/2025/05/13/43855731965f4eccbed71ef47bcdb70b_20250513145843.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"몽돌
[From ITALY] 펀칭 썸머 라운드넥 니트 가디건 MDCD046_6 Colors
24%
56,610
쿠폰
무료배송
3,228
4.5 (38)",몽돌,"몽돌
[From ITALY] 펀칭 썸머 라운드넥 니트 가디건 MDCD046_6 Colors",https://product.29cm.co.kr/catalog/3118219?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/몽돌/몽돌From_ITALY_펀칭_썸머_라운드넥_니트_가디건_MDCD046_6_Colors245.jpg,https://img.29cm.co.kr/item/202503/11f003b347613f458e7b7502132427d0.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"공드린
[2nd]_Essential 034 linen cardigan (3color)
127,000
486
5 (17)",공드린,"공드린
[2nd]_Essential 034 linen cardigan (3color)",https://product.29cm.co.kr/catalog/3284262?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/공드린/공드린2nd_Essential_034_linen_cardigan_3color12700048.png,https://img.29cm.co.kr/item/202505/11f034665dc97e268930491f120c03e9.png?width=400&format=webp
여성 > 의류 > 니트웨어,1,"던스트
SUMMER LINEN V-NECK KNIT MELANGE GREY_UDSW5B233G2
10%
89,100
1,050
5 (21)",던스트,"던스트
SUMMER LINEN V-NECK KNIT MELANGE GREY_UDSW5B233G2",https://product.29cm.co.kr/catalog/2542777?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/던스트/던스트SUMMER_LINEN_V-NECK_KNIT_MELANGE_GREY_UDSW5B233.jpg,https://img.29cm.co.kr/next-product/2025/04/10/9fbe1a691c96435fa902c9cacdb939dc_20250410164951.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"파사드패턴
린넨 브리즈 가디건_navy
178,000
3,417
4.5 (164)",파사드패턴,"파사드패턴
린넨 브리즈 가디건_navy",https://product.29cm.co.kr/catalog/2058058?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/파사드패턴/파사드패턴린넨_브리즈_가디건_navy17800034174.5_164.jpg,https://img.29cm.co.kr/next-product/2023/05/06/fa28b5aeb3be4c0f89047a05cb15e440_20230506183847.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"어다울
Matt button summer knit cardigan - black
10%
59,400
무료배송
4,416
4.5 (48)",어다울,"어다울
Matt button summer knit cardigan - black",https://product.29cm.co.kr/catalog/2721742?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/어다울/어다울Matt_button_summer_knit_cardigan_-_black1059400.jpg,https://img.29cm.co.kr/item/202503/11f00ab8bfea51d78e7b796224016351.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"베뉴엣
Ponds Cardigan (Flax ver.)_Cozy Silver
15%
110,295
쿠폰
213
5 (1)",베뉴엣,"베뉴엣
Ponds Cardigan (Flax ver.)_Cozy Silver",https://product.29cm.co.kr/catalog/3259668?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/베뉴엣/베뉴엣Ponds_Cardigan_Flax_ver._Cozy_Silver15110295쿠폰2.jpg,https://img.29cm.co.kr/item/202505/11f03a9975602e3a898ae3f84aa7e99a.jpg?width=400&format=webp
여성 > 의류 > 니트웨어,1,"제너럴아이디어
WOMAN 텐셀 브이넥 케이블 가디건 [WHITE] / WBD2L43545
30%
44,100
쿠폰
1,959
5 (123)",제너럴아이디어,"제너럴아이디어
WOMAN 텐셀 브이넥 케이블 가디건 [WHITE] / WBD2L43545",https://product.29cm.co.kr/catalog/2605360?colors=&categoryLargeCode=268100100&categoryMediumCode=268105100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/제너럴아이디어/제너럴아이디어WOMAN_텐셀_브이넥_케이블_가디건_WHITE__WBD2L4354530441.jpg,https://img.29cm.co.kr/item/202504/11f018dc9759c5efb170f5e8b3d71d32.jpg?width=400&format=webp
