카테고리,페이지,상품명,브랜드,가격,링크,이미지 경로,이미지 URL
여성 > 의류 > 아우터,1,"파르티멘토
Puckering Sheer Hood Zip-up Gray
24%
66,405
쿠폰
무료배송
718
5 (8)",파르티멘토,"파르티멘토
Puckering Sheer Hood Zip-up Gray",https://product.29cm.co.kr/catalog/3219103?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/파르티멘토/파르티멘토Puckering_Sheer_Hood_Zip-up_Gray2466405쿠폰무료배송.jpg,https://img.29cm.co.kr/item/202504/11f01c1e342c9992b1316d9958e8a825.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"모노하
Cotton field shacket (beige)
286,000
190
0 (0)",모노하,"모노하
Cotton field shacket (beige)",https://product.29cm.co.kr/catalog/3254924?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/모노하/모노하Cotton_field_shacket_beige2860001900_0.jpg,https://img.29cm.co.kr/item/202505/11f0315408bf8b4e89308b2d83773f15.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"모노하
Cotton dying work jacket (blue)
428,000
217
0 (0)",모노하,"모노하
Cotton dying work jacket (blue)",https://product.29cm.co.kr/catalog/3254948?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/모노하/모노하Cotton_dying_work_jacket_blue4280002170_0.jpg,https://img.29cm.co.kr/item/202505/11f03153d3b3d5c28930e705adb65086.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"로우클래식
Lc BACK POCKET NYLON JACKET_GREY_LC242_JP01GR
5%
226,100
1,225
5 (38)",로우클래식,"로우클래식
Lc BACK POCKET NYLON JACKET_GREY_LC242_JP01GR",https://product.29cm.co.kr/catalog/2558294?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/로우클래식/로우클래식Lc_BACK_POCKET_NYLON_JACKET_GREY_LC242_JP01GR.jpg,https://img.29cm.co.kr/next-product/2024/05/23/b76fe085829e4536a6ff7f178d0ca3d0_20240523200015.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"론론
HOODED WINDBREAKER JUMPER BLUE FLOWER
15%
84,645
쿠폰
무료배송
2,647
4.5 (34)",론론,"론론
HOODED WINDBREAKER JUMPER BLUE FLOWER",https://product.29cm.co.kr/catalog/3137930?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/론론/론론HOODED_WINDBREAKER_JUMPER_BLUE_FLOWER1584645쿠폰무료.jpg,https://img.29cm.co.kr/item/202503/11efff1088be30ebaceab5045b942c8c.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"아우브아워
[2차재입고 6/9 순차배송] tie halter top (olive)
73,000
563
5 (1)",아우브아워,"아우브아워
[2차재입고 6/9 순차배송] tie halter top (olive)",https://product.29cm.co.kr/catalog/3267391?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/아우브아워/아우브아워2차재입고_69_순차배송_tie_halter_top_olive730005635_1.jpg,https://img.29cm.co.kr/item/202505/11f037808d01c3fbbb06b5a79c30d7ca.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"셀리테일즈
SHIRRING POCKET WINDBREAKER_WHITE
32%
121,040
쿠폰
1,546
4.5 (14)",셀리테일즈,"셀리테일즈
SHIRRING POCKET WINDBREAKER_WHITE",https://product.29cm.co.kr/catalog/3034532?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/셀리테일즈/셀리테일즈SHIRRING_POCKET_WINDBREAKER_WHITE32121040쿠폰15.jpg,https://img.29cm.co.kr/item/202504/11f018c683b789acb131c3eb952ade40.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"데비웨어
파인 스트링 윈드자켓 DEVI-O0019-화이트
35,000
1,000
4.5 (29)",데비웨어,"데비웨어
파인 스트링 윈드자켓 DEVI-O0019-화이트",https://product.29cm.co.kr/catalog/3063206?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/데비웨어/데비웨어파인_스트링_윈드자켓_DEVI-O0019-화이트3500010004.5_29.jpg,https://img.29cm.co.kr/item/202502/11efe773bab5b30185210bca58833161.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"파르티멘토 우먼
SHEER SHIRRING TRACK JACKET_DUSTY MINT
20%
74,400
무료배송
962
5 (8)",파르티멘토,"파르티멘토 우먼
SHEER SHIRRING TRACK JACKET_DUSTY MINT",https://product.29cm.co.kr/catalog/3200457?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/파르티멘토/파르티멘토_우먼SHEER_SHIRRING_TRACK_JACKET_DUSTY_MINT2074.jpg,https://img.29cm.co.kr/item/202504/11f01823c0da28a5b1708dca88c304fd.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"하네
텐셀 글로우 시어 점퍼_Milk Glow
24%
91,200
쿠폰
440
5 (3)",하네,"하네
텐셀 글로우 시어 점퍼_Milk Glow",https://product.29cm.co.kr/catalog/3262573?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/하네/하네텐셀_글로우_시어_점퍼_Milk_Glow2491200쿠폰4405_3.jpg,https://img.29cm.co.kr/item/202505/11f02c7a1089e491b170713605867ad9.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"파르티멘토
Puckering Sheer Hood Zip-up Blue
24%
66,405
쿠폰
무료배송
495
5 (2)",파르티멘토,"파르티멘토
Puckering Sheer Hood Zip-up Blue",https://product.29cm.co.kr/catalog/3219106?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/파르티멘토/파르티멘토Puckering_Sheer_Hood_Zip-up_Blue2466405쿠폰무료배송.jpg,https://img.29cm.co.kr/item/202504/11f01c1e0e121cddb170178f9f7923ae.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"뉴발란스
NBNAF21503 / UNI 초경량 바람막이 (BLACK)
129,000
255
5 (11)",뉴발란스,"뉴발란스
NBNAF21503 / UNI 초경량 바람막이 (BLACK)",https://product.29cm.co.kr/catalog/3159554?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/뉴발란스/뉴발란스NBNAF21503__UNI_초경량_바람막이_BLACK1290002555_11.jpg,https://img.29cm.co.kr/next-product/2025/03/20/0d58a4b131e04fa9a3cde2d090336423_20250320151759.jpg?width=400&format=webp
여성 > 의류 > 아우터,1,"몽돌
크로쉐 썸머 니트 후드 집업 아이보리 MDCD040IVORY
33%
48,600
쿠폰
무료배송
1,248
4.5 (12)",몽돌,"몽돌
크로쉐 썸머 니트 후드 집업 아이보리 MDCD040IVORY",https://product.29cm.co.kr/catalog/3056793?colors=&categoryLargeCode=268100100&categoryMediumCode=268102100&categorySmallCode=&minPrice=&maxPrice=&isFreeShipping=&excludeSoldOut=&isDiscount=&brands=&sort=RECOMMEND&defaultSort=RECOMMEND&sortOrder=DESC&tag=&extraFacets=&attributes=&page=1,images/몽돌/몽돌크로쉐_썸머_니트_후드_집업_아이보리_MDCD040IVORY3348600쿠폰무료배송12.jpg,https://img.29cm.co.kr/item/202503/11f003c91637a263b9e63193bf0aae50.jpg?width=400&format=webp
